State,Year,Dem Wins,GOP Wins,Total Dem Votes,Total GOP Votes,Total Other Votes,Average Efficiency Gap
OK,1986,30,22,236372,237136,617,-0.2728577090180578
OK,1988,34,20,310094,308969,0,-0.30428693728547346
OK,1990,34,24,275382,254139,0,-0.2778353126417663
OK,1992,29,19,328575,304807,0,-0.24307358221951994
OK,1994,30,17,234704,212330,718,-0.23350905901108593
OK,1996,51,21,436815,385900,729,-0.26674530749988545
OK,1998,33,21,241183,224337,0,-0.23832059622069668
OK,2000,34,22,355824,291232,459,-0.2409931374894256
OK,2002,29,22,251812,247110,1501,-0.22710386203064775
OK,2004,29,35,427638,464445,2181,-0.24968448820780295
OK,2006,17,30,202395,237393,2126,-0.2712360966386112
OK,2008,15,41,353068,460728,1757,-0.23199318750789844
OK,2010,13,31,175319,248515,1346,-0.23367267288784446
OK,2012,12,31,324799,400400,5677,-0.28658366606609875
OR,1972,31,26,428509,391523,9410,-0.306045804050069
OR,1974,32,21,345792,310422,154,-0.3142845954140973
OR,1976,31,20,431265,387189,4132,-0.28216239314466496
OR,1978,30,21,377569,355009,4487,-0.25437005021533604
OR,1980,26,23,448541,440789,21437,-0.27096251595537124
OR,1982,35,21,480108,422825,10783,-0.25723543244028696
OR,1984,28,20,486039,461087,2485,-0.2911772756592977
OR,1986,28,27,467533,458346,3703,-0.26720473481021745
OR,1988,26,22,480591,442761,394,-0.3080722618002375
OR,1990,21,31,469896,481516,5533,-0.2633015032638354
OR,1992,22,25,553378,527334,8845,-0.2892224742172943
OR,1994,24,28,476271,500884,21825,-0.2759038946792257
OR,1996,26,24,547424,504679,13261,-0.2602622445083801
OR,1998,17,26,365732,383036,9851,-0.2808977975522543
OR,2000,17,29,531558,585590,6230,-0.2683043302541767
OR,2002,13,31,385763,473719,6560,-0.27477135706816047
OR,2004,18,27,619071,617702,19173,-0.2843104166505688
OR,2006,24,25,546005,500117,12029,-0.25509771219811506
OR,2008,17,19,504338,472413,3374,-0.2664854571347087
OR,2010,28,26,627607,605973,9418,-0.22448432878578756
OR,2012,30,19,1109755,1007414,34899,-0.2942459228165759
PA,1972,88,104,2029757,2184345,5448,-0.26025259827918595
PA,1974,103,89,1743698,1490595,4289,-0.2386774912026761
PA,1976,99,82,2082799,1895107,0,-0.23749140816212833
PA,1978,94,97,1674557,1678417,25139,-0.20491449267988818
PA,1980,81,88,1705781,1873298,21821,-0.19970931881023823
PA,1982,92,84,1671678,1462894,10251,-0.1720527208298315
PA,1984,83,83,1980470,1863673,7497,-0.1357506152629582
PA,1986,64,62,1075716,1027188,2748,-0.14242495828004506
PA,1988,66,66,1416852,1458766,1253,-0.14920406003855366
PA,1990,81,71,1198796,1126576,2968,-0.2055183051320013
PA,1992,94,82,2139332,1907530,10739,-0.17326002279610633
PA,1994,72,57,1092634,1082093,11425,-0.13531774415281178
PA,1996,68,74,1506100,1502510,13074,-0.11719566166354131
PA,1998,66,49,881001,812480,3896,-0.10203789831148427
PA,2000,57,50,1314684,1177153,8942,-0.14822785510962955
PA,2002,50,69,972972,1129477,6368,-0.14008517564782583
PA,2004,47,52,1391243,1301587,14947,-0.17384006247283904
PA,2006,64,73,1422029,1353617,16272,-0.21085865266691636
PA,2008,45,53,1449243,1442809,4551,-0.21942777760173765
PA,2010,53,67,1123356,1312918,27488,-0.21085549905364628
PA,2012,49,62,2740572,2610963,257360,-0.2896085522466411
RI,1972,65,27,201585,159111,1524,-0.26550949770945925
RI,1974,55,16,144078,85472,1902,-0.1830906014446271
RI,1976,61,16,181647,112111,96,-0.17630095116346292
RI,1978,38,16,100081,70535,257,-0.21400095189559398
RI,1980,46,18,156238,107344,1157,-0.20137873209748927
RI,1982,43,15,112511,82237,173,-0.23446620801689025
RI,1984,42,18,131018,106337,1678,-0.24876129402278374
RI,1986,52,12,119693,81613,2797,-0.1910114185557634
RI,1988,26,9,86202,61371,90,-0.24838256456077476
RI,1990,44,10,117965,76411,665,-0.19776853366569488
RI,1992,50,10,143967,96488,13668,-0.2505908025344883
RI,1994,35,10,93867,71586,591,-0.268138425976487
RI,1996,35,7,91194,56633,3481,-0.20348674671479033
RI,1998,21,10,51150,41649,984,-0.2217089023554076
RI,2000,20,13,72508,55281,1067,-0.18859433707936063
RI,2002,29,5,93886,65903,1445,-0.232338371825749
RI,2004,37,10,148804,102061,3080,-0.19986026935706003
RI,2006,27,8,109488,71182,0,-0.1796439642440431
RI,2008,37,3,148726,92314,8610,-0.221710664005917
RI,2010,40,7,120467,85686,6415,-0.24940264929089548
RI,2012,35,6,327402,180429,30979,-0.2607000820958695
SC,1974,45,17,156415,107293,3589,-0.21623173975457535
SC,1976,45,10,226852,138037,171,-0.1776293228998402
SC,1978,20,14,98124,82720,1824,-0.22242083576205784
SC,1980,22,9,136850,114721,173,-0.27370011891795615
SC,1982,25,15,118702,94027,2658,-0.21272647802267425
SC,1984,18,18,128730,158683,4538,-0.26805830956011234
SC,1986,16,17,102360,102694,66,-0.242630553534071
SC,1988,23,20,180378,186826,5559,-0.25704945335646384
SC,1990,24,21,146619,145703,1098,-0.21619883292304568
SC,1992,22,23,203463,219000,1969,-0.2823474790719053
SC,1994,19,22,146334,157720,0,-0.23559097410366345
SC,1996,26,25,241522,238205,4700,-0.20436903890674815
SC,1998,20,15,152608,150362,0,-0.27656345897548645
SC,2000,15,28,228053,260829,4177,-0.2701142016376396
SC,2002,13,22,151037,158122,1417,-0.2665499970552818
SC,2004,13,16,171422,199003,702,-0.24068747460132667
SC,2006,14,17,134133,147782,1506,-0.27084415886299285
SC,2008,16,20,267993,280311,0,-0.21212932098912474
SC,2010,12,24,170350,243421,6669,-0.1983730112218276
SC,2012,16,25,716801,705066,79207,-0.48867942714560386
TN,1972,22,38,318066,380627,8734,-0.2627942123270751
TN,1974,30,21,271750,237395,791,-0.22744348236559384
TN,1976,17,23,251868,261359,9,-0.28733939639591194
TN,1978,24,25,287584,288201,4788,-0.2513151207932784
TN,1980,32,23,423605,372812,4241,-0.2448791320062001
TN,1982,18,13,203887,182642,2888,-0.2315026133900073
TN,1984,15,16,230270,242940,214,-0.2596948227547004
TN,1986,22,15,234436,194350,1495,-0.2186299106166645
TN,1988,10,23,240263,306386,2808,-0.24735455714481294
TN,1990,21,19,176296,169892,2180,-0.2944062666772528
TN,1992,34,20,486260,464441,8163,-0.2669781632868917
TN,1994,27,21,326050,363689,4854,-0.289811588915959
TN,1996,29,18,431181,417122,3209,-0.26263473880979105
TN,1998,23,13,199940,177051,685,-0.2170617195848412
TN,2000,23,12,370685,338140,8317,-0.23089205986106742
TN,2002,34,19,433969,391524,10909,-0.2610850417476227
TN,2004,24,25,528354,589154,4996,-0.25759572614446635
TN,2006,23,21,394539,376131,1616,-0.25510134709640436
TN,2008,18,18,425106,439887,3764,-0.2558522081515722
TN,2010,19,37,370410,507725,8234,-0.23532105021963295
TN,2012,13,41,739009,1308305,22155,-0.19716006394412064
TX,1976,39,13,793189,624583,796,-0.20126566684701613
TX,1978,47,18,567816,508982,1395,-0.1722768760540558
TX,1980,51,23,1157805,1010604,7219,-0.2419585770633117
TX,1982,44,18,722627,571752,7265,-0.2001658917461761
TX,1984,15,28,699587,889447,44,-0.2836384959101438
TX,1986,23,26,571909,606309,303,-0.27112056405412727
TX,1988,29,30,1037275,1115824,9083,-0.2539490259490189
TX,1990,32,27,770999,795469,9750,-0.2922461380940294
TX,1992,31,23,1071028,1044968,24003,-0.252844506521718
TX,1994,27,24,680125,816457,3543,-0.214982439776011
TX,1996,39,18,1062760,955243,6708,-0.2630526420779218
TX,1998,33,19,685030,641813,494,-0.2619945328212409
TX,2000,23,19,807943,900703,14027,-0.24547076353254474
TX,2002,26,41,935143,1138830,14000,-0.22974639857992663
TX,2004,24,36,1246734,1660431,4990,-0.27399766330315517
TX,2006,26,44,944987,1211950,53122,-0.27818201235904194
TX,2008,34,37,1768185,2134704,80589,-0.26136128043724116
TX,2010,13,44,766881,1104587,25199,-0.2661836897428415
TX,2012,22,43,3525256,4844088,325889,-0.27733855546653824
UT,1972,25,34,174729,194039,337,-0.3256174465850962
UT,1974,36,34,186793,176473,12539,-0.27024255915044554
UT,1976,32,36,217062,245132,10587,-0.3013412820857862
UT,1978,21,47,143824,192422,2070,-0.2637599759001551
UT,1980,14,54,206593,324792,4691,-0.2554897825222155
UT,1982,14,45,162877,228282,5063,-0.284844282302848
UT,1984,10,46,178401,272820,4637,-0.2566496098934046
UT,1986,23,32,146637,157924,4342,-0.32451283092369676
UT,1988,24,38,231566,281176,12765,-0.3096015539724828
UT,1990,24,23,130324,135686,8075,-0.30220341485292307
UT,1992,19,39,247619,313336,11087,-0.29555452084396394
UT,1994,15,41,147874,222314,6880,-0.2273493281536712
UT,1996,17,29,174159,221671,5199,-0.2558931753421676
UT,1998,20,36,160525,203215,4436,-0.23943579239154236
UT,2000,21,40,242355,338714,11008,-0.22285556253718394
UT,2002,19,26,152713,174048,2981,-0.24237250976323058
UT,2004,16,29,215318,297784,8158,-0.2154242514142684
UT,2006,18,35,164096,224054,8351,-0.20872778976968948
UT,2008,22,48,344860,609351,16283,-0.1955100220756636
UT,2010,16,41,170621,287023,8846,-0.15182848013494224
UT,2012,13,49,374403,934467,16951,-0.13911083101038849
VA,1985,26,13,275397,233861,391,-0.26433428455364016
VA,1987,18,13,233069,217555,2353,-0.3462176795685268
VA,1989,22,18,375276,367429,2543,-0.3431707255642261
VA,1991,23,24,299564,313321,1454,-0.31702267267336487
VA,1993,30,26,456537,473177,16962,-0.267225098113848
VA,1995,37,28,508693,489756,3677,-0.2575541977480803
VA,1997,20,19,318835,349004,8146,-0.2664915379408268
VA,1999,20,19,283377,270762,9925,-0.29023154361912434
VA,2001,17,34,431888,501445,14162,-0.2697389146509634
VA,2003,13,18,200789,225160,3011,-0.2897349753163701
VA,2005,19,19,372696,354287,3984,-0.27568645545555936
VA,2007,10,21,207441,251707,3600,-0.31827311621369725
VA,2009,24,30,484617,563454,12676,-0.267758833374965
VA,2011,10,34,772912,973037,29171,-0.35074841481575864
WI,1972,59,35,892639,759240,22925,-0.1983258070361106
WI,1974,42,35,476393,469843,13644,-0.25065713413847707
WI,1976,60,24,959830,683869,3941,-0.17944462589229576
WI,1978,45,33,592454,575268,3507,-0.2376665700081812
WI,1980,42,26,760522,697566,8906,-0.23690629073433075
WI,1982,46,40,711205,619151,2734,-0.26915320227530465
WI,1984,39,45,881144,910188,1119,-0.2173827316841995
WI,1986,49,29,620428,537552,1175,-0.17809742357111932
WI,1988,37,34,771735,711390,1108,-0.21916009006556303
WI,1990,42,19,481371,390614,1712,-0.25097892399064464
WI,1992,31,29,726816,695116,12315,-0.276402146234321
WI,1994,29,24,406612,411372,6256,-0.254518889487425
WI,1996,28,41,679132,814060,8939,-0.22810262657174762
WI,1998,27,28,490405,482604,2936,-0.2277054362563816
WI,2000,23,35,715494,772389,3633,-0.25563152581035564
WI,2002,17,30,390368,435736,5238,-0.2860879940686974
WI,2004,17,39,771294,852250,19316,-0.2935136959600838
WI,2006,22,38,629720,664117,4481,-0.32302682212623746
WI,2008,28,40,976493,1007244,6132,-0.3198561117171082
WI,2010,24,43,642160,784023,25257,-0.28704457900005287
WI,2012,20,57,1636574,1769480,36047,-0.3789470915421445
WY,1992,15,30,68882,76619,1147,-0.34055380955662967
WY,1994,6,21,35778,50459,169,-0.3041533005308074
WY,1996,12,21,46239,62717,415,-0.2889621153096964
WY,1998,11,17,35538,41152,177,-0.3337005721143291
WY,2000,7,22,40850,55076,0,-0.30592080429023255
WY,2002,11,18,37766,43966,0,-0.3121660884822626
WY,2004,5,20,39974,57517,221,-0.2999184017616274
WY,2006,9,10,27474,29111,0,-0.3051383627920831
WY,2008,8,16,40232,57989,1451,-0.24522217202143423
WY,2010,5,15,23049,35976,119,-0.2452639815085506
WY,2012,6,13,43445,59199,1366,-0.3166460308514201
